Date,Price,Open,High,Low,Vol,Change
"Aug 14, 2016","582.6","584.6","585.8","559.3","216.33K","-0.34%"
"Aug 07, 2016","584.6","586.5","600.5","580.9","211.25K","-0.32%"
"Jul 31, 2016","586.5","654.7","654.9","471.4","444.48K","-10.43%"
"Jul 24, 2016","654.7","655.2","664.2","643.5","217.98K","-0.06%"
"Jul 17, 2016","655.2","660.7","680.9","645.7","285.32K","-0.84%"
"Jul 10, 2016","660.7","651.8","673.2","636.8","309.16K","1.36%"
"Jul 03, 2016","651.8","698.1","701.5","605.0","590.38K","-6.62%"
"Jun 26, 2016","698.1","663.5","700.5","609.9","593.43K","5.21%"
"Jun 19, 2016","663.5","753.8","765.1","539.3","1.18M","-11.97%"
"Jun 12, 2016","753.8","591.6","776.0","592.8","1.21M","27.41%"
"Jun 05, 2016","591.6","572.0","592.6","543.6","398.83K","3.44%"
"May 29, 2016","572.0","524.2","592.7","493.2","663.12K","9.10%"
"May 22, 2016","524.2","443.6","531.8","436.9","459.13K","18.16%"
"May 15, 2016","443.6","456.4","460.3","435.4","255.85K","-2.80%"
"May 08, 2016","456.4","458.5","464.2","446.8","277.91K","-0.44%"
"May 01, 2016","458.5","448.5","461.5","440.2","326.08K","2.21%"
"Apr 24, 2016","448.5","450.1","468.9","433.9","476.55K","-0.34%"
"Apr 17, 2016","450.1","430.0","451.5","423.8","333.40K","4.66%"
"Apr 10, 2016","430.0","418.0","432.0","416.7","269.29K","2.87%"
"Apr 03, 2016","418.0","418.5","423.7","412.4","242.22K","-0.11%"
"Mar 27, 2016","418.5","416.5","427.4","406.4","328.93K","0.48%"
"Mar 20, 2016","416.5","408.7","419.6","407.2","264.86K","1.91%"
"Mar 13, 2016","408.7","410.4","419.6","402.1","324.33K","-0.41%"
"Mar 06, 2016","410.4","399.0","422.4","393.1","405.06K","2.85%"
"Feb 28, 2016","399.0","431.3","441.3","386.9","528.15K","-7.49%"
"Feb 21, 2016","431.3","440.1","447.6","410.4","466.28K","-1.99%"
"Feb 14, 2016","440.1","390.1","442.7","390.1","559.58K","12.81%"
"Feb 07, 2016","390.1","376.7","392.6","371.4","420.40K","3.56%"
"Jan 31, 2016","376.7","377.8","391.8","365.3","465.80K","-0.29%"
"Jan 24, 2016","377.8","388.6","405.4","363.5","484.64K","-2.79%"
"Jan 17, 2016","388.6","385.0","425.7","373.2","688.23K","0.93%"
"Jan 10, 2016","385.0","448.3","451.1","350.4","735.95K","-14.11%"
"Jan 03, 2016","448.3","433.7","462.9","423.1","457.61K","3.36%"
"Dec 27, 2015","433.7","415.4","438.0","406.1","420.60K","4.42%"
"Dec 20, 2015","415.4","461.2","462.8","400.5","703.13K","-9.94%"
"Dec 13, 2015","461.2","432.3","466.1","420.8","784.64K","6.69%"
"Dec 06, 2015","432.3","386.7","467.7","381.7","908.49K","11.79%"
"Nov 29, 2015","386.7","355.8","390.3","347.2","664.46K","8.67%"
"Nov 22, 2015","355.8","324.7","368.9","315.5","578.86K","9.59%"
"Nov 15, 2015","324.7","331.8","342.9","309.5","593.42K","-2.13%"
